page,mbfclink,bias_rating,factual_reporting,country,media_type,trafficpopularity,credibility_rating,source,domain,leaning,press_freedom_rank
Institute for Creation Research,https://mediabiasfactcheck.com/institute-for-creation-research-icr/,,VERY LOW,USA,,,,https://www.icr.org,icr.org,conspiracy,
Institute for Responsible Technology,https://mediabiasfactcheck.com/institute-for-responsible-technology/,,MIXED,USA,,,,https://responsibletechnology.org/,responsibletechnology.org,conspiracy,
Intellihub,https://mediabiasfactcheck.com/intellihub/,,LOW,USA,,,,https://www.intellihub.com/,intellihub.com,conspiracy,
International Climate Science Coalition,https://mediabiasfactcheck.com/international-climate-science-coalition/,,LOW,Canada,,,,https://www.climatescienceinternational.org,climatescienceinternational.org,conspiracy,
Investment Watch Blog,https://mediabiasfactcheck.com/investment-watch-blog/,,MIXED,USA,,,,https://www.investmentwatchblog.com/,investmentwatchblog.com,conspiracy,
Iowa Climate Science Education,https://mediabiasfactcheck.com/iowa-climate-science-education/,,LOW,USA,,,,https://iowaclimate.org,iowaclimate.org,conspiracy,
Irish Sentinel,https://mediabiasfactcheck.com/irish-sentinel-bias/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,Ireland,Website,Minimal Traffic,LOW CREDIBILITY,https://theirishsentinel.com/,theirishsentinel.com,conspiracy,
Israel365 News,https://mediabiasfactcheck.com/israel365-news/,RIGHT CONSPIRACY-PSEUDOSCIENCE,MIXED,Israel,Website,Medium Traffic,LOW CREDIBILITY,https://www.israel365news.com/,israel365news.com,conspiracy,
"Israel, Islam and End Times",https://mediabiasfactcheck.com/israel-islam-end-times/,RIGHT CONSPIRACY-PSEUDOSCIENCE,LOW,Australia (25/180 Press Freedom),Organization/Foundation,Minimal Traffic,LOW CREDIBILITY,http://www.israelislamandendtimes.com/,israelislamandendtimes.com,conspiracy,
Jeda News,https://mediabiasfactcheck.com/jeda-news/,CONSPIRACY-PSEUDOSCIENCE,LOW,Italy,Website,Minimal Traffic,LOW CREDIBILITY,https://www.jedanews.com/,jedanews.com,conspiracy,
Jehovah’s Witnesses,https://mediabiasfactcheck.com/jehovahs-witnesses-jw-org/,CONSPIRACY-PSEUDOSCIENCE,LOW,USA,Organization/Foundation,High Traffic,LOW CREDIBILITY,https://www.jw.org/,jw.org,conspiracy,MOSTLY FREE
Jesus Daily,https://mediabiasfactcheck.com/jesus-daily/,,LOW,USA,,,,https://www.jesusdaily.com,jesusdaily.com,conspiracy,
Jesus is Savior,https://mediabiasfactcheck.com/jesus-is-savior/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA (44/180 Press Freedom),Website,Medium Traffic,LOW CREDIBILITY,http://www.jesus-is-savior.com/,jesus-is-savior.com,conspiracy,
JoeBiden.News,https://mediabiasfactcheck.com/joebiden-news/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://joebiden.news/,joebiden.news,conspiracy,MOSTLY FREE
JunkScience.com,https://mediabiasfactcheck.com/junkscience-com/,,LOW,USA,,,,https://junkscience.com,junkscience.com,conspiracy,
LaRouche PAC,https://mediabiasfactcheck.com/larouche-pac/,,LOW,USA,,,,https://larouchepac.com/,larouchepac.com,conspiracy,
Learn The Risk,https://mediabiasfactcheck.com/learntherisk-org/,,VERY LOW,USA,,,,https://www.learntherisk.org,learntherisk.org,conspiracy,
LeftCult,https://mediabiasfactcheck.com/leftcult/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://leftcult.com/,leftcult.com,conspiracy,MOSTLY FREE
Les Moutons Rebelles,https://mediabiasfactcheck.com/les-moutons-rebelles-the-rebel-sheep-bias/,RIGHT-CONSPIRACY-PSEUDOSCIENCE,VERY LOW,France,Website,Minimal Traffic,LOW CREDIBILITY,https://lesmoutonsrebelles.com/,lesmoutonsrebelles.com,conspiracy,MOSTLY FREE
Liberty.News,https://mediabiasfactcheck.com/liberty-news-2/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://liberty.news,liberty.news,conspiracy,MOSTLY FREE
Liberty Planet,https://mediabiasfactcheck.com/liberty-planet-bias/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://www.libertyplanets.com/,libertyplanets.com,conspiracy,
Liberty Videos,https://mediabiasfactcheck.com/liberty-videos/,,LOW,USA,,,,http://libertyvideos.org/,libertyvideos.org,conspiracy,
Libtards.News,https://mediabiasfactcheck.com/libtards-news/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://libtards.news/,libtards.news,conspiracy,MOSTLY FREE
LifeSpa,https://mediabiasfactcheck.com/lifespa/,,LOW,USA,,,,https://lifespa.com/,lifespa.com,conspiracy,
LittleThings,https://mediabiasfactcheck.com/littlethings/,LEFT – PSEUDOSCIENCE,MIXED,USA,Website,Medium Traffic,LOW CREDIBILITY,https://littlethings.com/,littlethings.com,conspiracy,
Live Action,https://mediabiasfactcheck.com/live-action/,RIGHT – CONSPIRACY AND PSEUDOSCIENCE,MIXED,USA,Organization/Foundation,Medium Traffic,LOW CREDIBILITY,https://liveaction.org/,liveaction.org,conspiracy,MOSTLY FREE
Livestrong.com,https://mediabiasfactcheck.com/livestrong-com/,,MIXED,USA,,,,https://www.livestrong.com,livestrong.com,conspiracy,
Living Whole,https://mediabiasfactcheck.com/living-whole/,,MIXED,Canada,,,,https://www.livingwhole.org/,livingwhole.org,conspiracy,
Media Fact Watch,https://mediabiasfactcheck.com/media-fact-watch/,FAR RIGHT CONSPIRACY-PSEUSDOSCIENCE,VERY LOW,USA (44/180 Press Freedom),Website,Minimal Traffic,LOW CREDIBILITY,https://mediafactwatch.com/,mediafactwatch.com,conspiracy,
Media Roots,https://mediabiasfactcheck.com/media-roots/,,MIXED,USA,,,,http://mediaroots.org,mediaroots.org,conspiracy,
Medical Censorship News,https://mediabiasfactcheck.com/medical-censorship-news-bias/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://medicalcensorship.com/,medicalcensorship.com,conspiracy,MOSTLY FREE
Medical Daily,https://mediabiasfactcheck.com/medical-daily/,PSEUDOSCIENCE,MIXED,USA (44/180 Press Freedom),Website,Medium Traffic,LOW CREDIBILITY,https://www.medicaldaily.com/,medicaldaily.com,conspiracy,
Medical Kidnap,https://mediabiasfactcheck.com/medical-kidnap/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Medium Traffic,LOW CREDIBILITY,https://medicalkidnap.com/,medicalkidnap.com,conspiracy,
Medical Medium,https://mediabiasfactcheck.com/medical-medium/,PSEUDOSCIENCE,LOW,USA,Website,Medium Traffic,LOW CREDIBILITY,https://www.medicalmedium.com/,medicalmedium.com,conspiracy,
Medicine News,https://mediabiasfactcheck.com/medicine-news/,,VERY LOW,USA,,,,http://www.medicine.news/,medicine.news,conspiracy,
Mercola,https://mediabiasfactcheck.com/mercola/,PSEUDOSCIENCE,LOW,USA,Website,High Traffic,LOW CREDIBILITY,https://www.mercola.com/,mercola.com,conspiracy,MOSTLY FREE
MindBodyGreen,https://mediabiasfactcheck.com/mindbodygreen/,,MIXED,USA,,,,https://www.mindbodygreen.com,mindbodygreen.com,conspiracy,
Modern Alternative Mama,https://mediabiasfactcheck.com/modern-alternative-mama/,PSEUDOSCIENCE,MIXED,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://modernalternativemama.com/,modernalternativemama.com,conspiracy,
National File,https://mediabiasfactcheck.com/national-file/,FAR RIGHT,LOW,USA,Website,Medium Traffic,LOW CREDIBILITY,https://nationalfile.com/,nationalfile.com,conspiracy,
NationalSecurity.News,https://mediabiasfactcheck.com/nationalsecurity-news/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://nationalsecurity.news/,nationalsecurity.news,conspiracy,MOSTLY FREE
National Vaccine Information Institute,https://mediabiasfactcheck.com/national-vaccine-information-center-nvic/,PSEUDOSCIENCE,LOW,USA (45/180 Press Freedom),Organization/Foundation,Minimal Traffic,LOW CREDIBILITY,https://www.nvic.org,nvic.org,conspiracy,
Natural Awakenings Magazine,https://mediabiasfactcheck.com/natural-awakenings-magazine/,,MIXED,USA,,,,https://www.naturalawakeningsmag.com/,naturalawakeningsmag.com,conspiracy,
Natural Cures,https://mediabiasfactcheck.com/natural-cures/,,MIXED,United Kingdom,,,,https://naturalcures.com/,naturalcures.com,conspiracy,
Natural Health 365,https://mediabiasfactcheck.com/natural-health-365/,PSEUDOSCIENCE,LOW,USA (44/180 Press Freedom),Website,Medium Traffic,LOW CREDIBILITY,https://www.naturalhealth365.com/,naturalhealth365.com,conspiracy,
NaturalMedicine.News,https://mediabiasfactcheck.com/naturalmedicine-news/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://naturalmedicine.news/,naturalmedicine.news,conspiracy,MOSTLY FREE
Natural News,https://mediabiasfactcheck.com/natural-news/,FAR RIGHT CONSPIRACY-PSEUSDOSCIENCE,VERY LOW,USA (45/180 Press Freedom),Website,Medium Traffic,LOW CREDIBILITY,https://www.naturalnews.com/,naturalnews.com,conspiracy,
NaturalNewsBlogs.com,https://mediabiasfactcheck.com/naturalnewsblogs/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://naturalnewsblogs.com/,naturalnewsblogs.com,conspiracy,MOSTLY FREE
Natural News Radio,https://mediabiasfactcheck.com/natural-news-radio/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://naturalnewsradio.com/,naturalnewsradio.com,conspiracy,MOSTLY FREE
NaturalPedia.com,https://mediabiasfactcheck.com/naturalpedia-com/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://naturalpedia.com/,naturalpedia.com,conspiracy,MOSTLY FREE
Natural Society,https://mediabiasfactcheck.com/natural-society/,LEFT CONSPIRACY-PSEUDOSCIENCE,MIXED,USA (44/180 Press Freedom),Website,Minimal Traffic,LOW CREDIBILITY,https://naturalsociety.com,naturalsociety.com,conspiracy,
Naturally Savvy,https://mediabiasfactcheck.com/naturally-savvy/,,MIXED,USA,,,,http://naturallysavvy.com,naturallysavvy.com,conspiracy,
Need to Know,https://mediabiasfactcheck.com/need-to-know/,,LOW,USA,,,,https://needtoknow.news,needtoknow.news,conspiracy,
Neon Nettle,https://mediabiasfactcheck.com/neon-nettle/,RIGHT CONSPIRACY-PSEUDOSCIENCE,LOW,United Kingdom (35/180 Press Freedom),Website,Medium Traffic,LOW CREDIBILITY,https://neonnettle.com/,neonnettle.com,conspiracy,
NeuroNation,https://mediabiasfactcheck.com/neuronation/,,MIXED,Germany,,,,neuronation.com,neuronation.com,conspiracy,
New American News,https://mediabiasfactcheck.com/new-american-news/,RIGHT PSEUDOSCIENCE,LOW,USA (45/180 Press Freedom),Website,Minimal Traffic,LOW CREDIBILITY,http://newamericannews.com/,newamericannews.com,conspiracy,
News Inside Out,https://mediabiasfactcheck.com/newsinsideout-com/,,LOW,USA,,,,https://newsinsideout.com/,newsinsideout.com,conspiracy,
News Target,https://mediabiasfactcheck.com/news-target/,,LOW,USA,,,,https://www.newstarget.com/,newstarget.com,conspiracy,
Newsbud,https://mediabiasfactcheck.com/newsbud/,,MIXED,USA,,,,https://www.newsbud.com/,newsbud.com,conspiracy,
NoMoreFakeNews.com,https://mediabiasfactcheck.com/nomorefakenews-com-bias/,RIGHT CONSPIRACY- PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://nomorefakenews.com/,nomorefakenews.com,conspiracy,
NoTricksZone,https://mediabiasfactcheck.com/notrickszone/,RIGHT PSEUDOSCIENCE,LOW,Germany,Website,Minimal Traffic,LOW CREDIBILITY,https://notrickszone.com/,notrickszone.com,conspiracy,
Now The End Begins,https://mediabiasfactcheck.com/now-the-end-begins/,,VERY LOW,USA,,,,https://www.nowtheendbegins.com,nowtheendbegins.com,conspiracy,
NutrientReference.com,https://mediabiasfactcheck.com/nutrientreference-com/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,http://nutrientreference.com/,nutrientreference.com,conspiracy,MOSTLY FREE
Nutritionfacts.org,https://mediabiasfactcheck.com/nutritionfacts-org/,PSEUDOSCIENCE,MIXED,USA (44/180 Press Freedom),Website,Medium Traffic,LOW CREDIBILITY,https://nutritionfacts.org/,nutritionfacts.org,conspiracy,
Occupy Yourself,https://mediabiasfactcheck.com/occupy-yourself/,,MIXED,USA,,,,https://occupyyourself.org,occupyyourself.org,conspiracy,
OffGuardian,https://mediabiasfactcheck.com/offguardian/,CONSPIRACY-PSEUDOSCIENCE,MIXED,Unknown,Website,Medium Traffic,LOW CREDIBILITY,https://off-guardian.org,off-guardian.org,conspiracy,
Online Updates,https://mediabiasfactcheck.com/online-updates/,PSEUDOSCIENCE,MIXED,Unknown,Website,Minimal Traffic,LOW CREDIBILITY,https://online-updates.net,online-updates.net,conspiracy,
Organic Consumers Association,https://mediabiasfactcheck.com/organic-consumers-association/,CONSPIRACY-PSEUDOSCIENCE,LOW,USA,Organization/Foundation,Minimal Traffic,LOW CREDIBILITY,https://www.organicconsumers.org/,organicconsumers.org,conspiracy,
Organic Facts,https://mediabiasfactcheck.com/organic-facts/,,MIXED,India,,,,https://www.organicfacts.net,organicfacts.net,conspiracy,
Our Health Guides,https://mediabiasfactcheck.com/our-health-guides/,,LOW,,,,,http://ourhealthguides.com/,ourhealthguides.com,conspiracy,
Pandemic News,https://mediabiasfactcheck.com/pandemic-news/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://www.pandemic.news/,pandemic.news,conspiracy,MOSTLY FREE
Patriots for Truth,https://mediabiasfactcheck.com/patriots-for-truth/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://patriots4truth.org/,patriots4truth.org,conspiracy,MOSTLY FREE
PaulCraigRoberts.org,https://mediabiasfactcheck.com/paulcraigroberts-org-bias/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://www.paulcraigroberts.org/,paulcraigroberts.org,conspiracy,MOSTLY FREE
PETA,https://mediabiasfactcheck.com/peta-people-for-the-ethical-treatment-of-animals/,EXTREME LEFT,MIXED,USA (45/180 Press Freedom),Organization/Foundation,,LOW CREDIBILITY,https://www.peta.org/,peta.org,conspiracy,
Pollution.News,https://mediabiasfactcheck.com/pollution-news/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,http://pollution.news/,pollution.news,conspiracy,MOSTLY FREE
Prepare for Change,https://mediabiasfactcheck.com/prepare-for-change/,,LOW,Unknown,,,,https://prepareforchange.net,prepareforchange.net,conspiracy,
Press for Truth,https://mediabiasfactcheck.com/press-for-truth/,RIGHT CONSPIRACY-PSEUDOSCIENCE,MIXED,Canada,Website,Minimal Traffic,LOW CREDIBILITY,https://pressfortruth.ca,pressfortruth.ca,conspiracy,
Prevention Magazine,https://mediabiasfactcheck.com/prevention-magazine/,PSEUDOSCIENCE,MIXED,USA,Magazine,High Traffic,LOW CREDIBILITY,https://www.prevention.com/,prevention.com,conspiracy,
Principia Scientific International,https://mediabiasfactcheck.com/principia-scientific-international/,RIGHT,LOW,United Kingdom,Website,Minimal Traffic,LOW CREDIBILITY,https://principia-scientific.org/,principia-scientific.org,conspiracy,
Primary Doctor Medical Journal,https://mediabiasfactcheck.com/primary-doctor-medical-journal/,RIGHT PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://pdmj.org/,pdmj.org,conspiracy,MOSTLY FREE
Prison Planet,https://mediabiasfactcheck.com/prison-planet/,,VERY LOW,USA,,,,http://www.prisonplanet.com/,prisonplanet.com,conspiracy,
Prophecy News Watch,https://mediabiasfactcheck.com/prophecy-news-watch/,,LOW,USA,,,,https://www.prophecynewswatch.com/,prophecynewswatch.com,conspiracy,
Prophecy Today,https://mediabiasfactcheck.com/prophecy-today/,,LOW,USA,,,,http://www.prophecytoday.com/,prophecytoday.com,conspiracy,
QAnon.pub,https://mediabiasfactcheck.com/qanon-pub/,EXTREME RIGHT,VERY LOW,USA (44/180 Press Freedom),Website,Medium Traffic,LOW CREDIBILITY,https://qanon.pub/,qanon.pub,conspiracy,
RandPaul.News,https://mediabiasfactcheck.com/randpaul-news/,RIGHT-CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://www.randpaul.news/,randpaul.news,conspiracy,MOSTLY FREE
Rapture News Network,https://mediabiasfactcheck.com/rapture-news-network/,,LOW,USA,,,,https://www.rapturenewsnetwork.com/,rapturenewsnetwork.com,conspiracy,
Real Climate Science,https://mediabiasfactcheck.com/real-climate-science/,RIGHT CONSPIRACY-PSEUDOSCIENCE,LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://realclimatescience.com/,realclimatescience.com,conspiracy,MOSTLY FREE
Real Jew News,https://mediabiasfactcheck.com/real-jew-news/,CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA (45/180 Press Freedom),Website,Minimal Traffic,LOW CREDIBILITY,http://www.realjewnews.com/,realjewnews.com,conspiracy,
Real News 24,https://mediabiasfactcheck.com/real-news-24/,LEFT CONSPIRACY-PSEUDOSCIENCE,LOW,Germany (13/180 Press Freedom),Website,Minimal Traffic,LOW CREDIBILITY,http://www.realnews24.com,realnews24.com,conspiracy,
RealFarmacy,https://mediabiasfactcheck.com/realfarmacy/,,LOW,Unknown,,,,https://www.realfarmacy.com/,realfarmacy.com,conspiracy,
Redoubt News,https://mediabiasfactcheck.com/redoubt-news/,RIGHT-CONSPIRACY,MIXED,USA (45/180 Press Freedom),Website,Minimal Traffic,LOW CREDIBILITY,https://redoubtnews.com/,redoubtnews.com,conspiracy,
RedPill Project,https://mediabiasfactcheck.com/redpill-project-bias/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://www.redpillpodcasts.com/,redpillpodcasts.com,conspiracy,
Rense,https://mediabiasfactcheck.com/rense/,FAR RIGHT,VERY LOW,USA (44/180 Press Freedom),Website,Medium Traffic,LOW CREDIBILITY,https://www.rense.com/,rense.com,conspiracy,
Return to Now,https://mediabiasfactcheck.com/return-to-now/,,LOW,USA,,,,https://returntonow.net/,returntonow.net,conspiracy,
Revolution Radio,https://mediabiasfactcheck.com/revolution-radio/,,LOW,USA,,,,http://revolutionradio.org,revolutionradio.org,conspiracy,
SaneVax,https://mediabiasfactcheck.com/sanevax/,QUACKERY PSEUDOSCIENCE,LOW,USA (44/180 Press Freedom),Website,Minimal Traffic,LOW CREDIBILITY,https://sanevax.org/,sanevax.org,conspiracy,
Sante Plus Magazine,https://mediabiasfactcheck.com/sante-plus-magazine/,PSEUDOSCIENCE,LOW,Morocco,Website,Medium Traffic,LOW CREDIBILITY,https://www.santeplusmag.com/,santeplusmag.com,conspiracy,
Science.News,https://mediabiasfactcheck.com/science-news-2/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://science.news/,science.news,conspiracy,MOSTLY FREE
Science Vibe,https://mediabiasfactcheck.com/science-vibe/,,MIXED,USA,,,,https://sciencevibe.com,sciencevibe.com,conspiracy,
SGT Report,https://mediabiasfactcheck.com/sgt-report/,,LOW,Unknown,,,,https://www.sgtreport.com/,sgtreport.com,conspiracy,
Sheep Killers,https://mediabiasfactcheck.com/sheep-killers/,,LOW,Unknown,,,,http://www.sheepkillers.com/,sheepkillers.com,conspiracy,
Shoebat,https://mediabiasfactcheck.com/shoebat/,,LOW,USA,,,,http://shoebat.com/,shoebat.com,conspiracy,
Signs of the Times,https://mediabiasfactcheck.com/signs-of-the-times-sott/,,LOW,USA,,,,https://www.sott.net/,sott.net,conspiracy,
Skeptiko,https://mediabiasfactcheck.com/skeptiko/,,VERY LOW,USA,,,,https://skeptiko.com/,skeptiko.com,conspiracy,
Snopes.News,https://mediabiasfactcheck.com/snopes-news/,RIGHT-CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://www.snopes.news/,snopes.news,conspiracy,
Southfront,https://mediabiasfactcheck.com/south-front/,RIGHT-CONSPIRACY,LOW,Russia,Website,Medium Traffic,LOW CREDIBILITY,https://southfront.org/,southfront.org,conspiracy,
Space.News,https://mediabiasfactcheck.com/space-news/,FAR RIGHT,VERY LOW,USA (44/180 Press Freedom),Website,Minimal Traffic,LOW CREDIBILITY,https://space.news/,space.news,conspiracy,
Stillness in the Storm,https://mediabiasfactcheck.com/stillness-in-the-storm/,,LOW,USA,,,,https://stillnessinthestorm.com/,stillnessinthestorm.com,conspiracy,
Stormfront,https://mediabiasfactcheck.com/stormfront/,,VERY LOW,USA,,,,https://www.stormfront.org/forum/blogs/recent-entries/,stormfront.org,conspiracy,
SupplementReference.com,https://mediabiasfactcheck.com/supplementreference-com/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://www.supplementreference.com/,supplementreference.com,conspiracy,MOSTLY FREE
Sustainable Pulse,https://mediabiasfactcheck.com/sustainable-pulse/,,LOW,USA,,,,https://sustainablepulse.com/,sustainablepulse.com,conspiracy,
Swiss Policy Research,https://mediabiasfactcheck.com/swiss-policy-research/,RIGHT – CONSPIRACY,MIXED,Unknown,Website,Medium Traffic,LOW CREDIBILITY,https://swprs.org/,swprs.org,conspiracy,
Talknetwork.com,https://mediabiasfactcheck.com/talknetwork-com/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://talknetwork.com/,talknetwork.com,conspiracy,MOSTLY FREE
Technocracy.News,https://mediabiasfactcheck.com/technocracy-news/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Medium Traffic,LOW CREDIBILITY,https://www.technocracy.news/,technocracy.news,conspiracy,MOSTLY FREE
The Anti-Media,https://mediabiasfactcheck.com/the-anti-media/,,MIXED,USA,,,,https://theantimedia.com/,theantimedia.com,conspiracy,
The Automatic Earth,https://mediabiasfactcheck.com/the-automatic-earth/,RIGHT-PSEUDOSCIENCE,LOW,USA (44/180 Press Freedom),Website,Minimal Traffic,LOW CREDIBILITY,https://www.theautomaticearth.com/,theautomaticearth.com,conspiracy,
The Common Sense Show,https://mediabiasfactcheck.com/the-common-sense-show/,,VERY LOW,USA,,,,https://www.thecommonsenseshow.com/,thecommonsenseshow.com,conspiracy,
The Corbett Report,https://mediabiasfactcheck.com/the-corbett-report/,RIGHT CONSPIRACY-PSEUDOSCIENCE,LOW,Japan (66/180 Press Freedom),Website,Medium Traffic,LOW CREDIBILITY,https://www.corbettreport.com,corbettreport.com,conspiracy,
The Daily Expose,https://mediabiasfactcheck.com/the-daily-expose/,CONSPIRACY-PSEUDOSCIENCE,VERY LOW,United Kingdom,Website,Minimal Traffic,LOW CREDIBILITY,https://expose-news.com/,expose-news.com,conspiracy,
The Daily Sheeple,https://mediabiasfactcheck.com/the-daily-sheeple/,,LOW,Unknown,,,,https://www.thedailysheeple.com/,thedailysheeple.com,conspiracy,
The European Union Times,https://mediabiasfactcheck.com/the-european-union-times/,,MIXED,Unknown,,,,https://www.eutimes.net/,eutimes.net,conspiracy,
The Fullerton Informer,https://mediabiasfactcheck.com/the-fullerton-informer/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA (44/180 Press Freedom),Website,Minimal Traffic,LOW CREDIBILITY,https://thefullertoninformer.com/,thefullertoninformer.com,conspiracy,
The Greanville Post,https://mediabiasfactcheck.com/the-greanville-post-bias-rating/,,MIXED,USA,,,,https://www.greanvillepost.com/,greanvillepost.com,conspiracy,
The Health Ranger,https://mediabiasfactcheck.com/the-health-ranger/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://healthranger.com/,healthranger.com,conspiracy,MOSTLY FREE
The Healthy American,https://mediabiasfactcheck.com/the-healthy-american/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://www.thehealthyamerican.org/,thehealthyamerican.org,conspiracy,MOSTLY FREE
The Hearty Soul,https://mediabiasfactcheck.com/the-hearty-soul/,,MIXED,Canada,,,,http://theheartysoul.com/,theheartysoul.com,conspiracy,
The Highwire,https://mediabiasfactcheck.com/the-highwire/,CONSPIRACY-PSEUDOSCIENCE,LOW,USA,Website,Medium Traffic,LOW CREDIBILITY,https://thehighwire.com/,thehighwire.com,conspiracy,MOSTLY FREE
The Liberty Beacon,https://mediabiasfactcheck.com/the-liberty-beacon/,FAR-RIGHT CONSPIRACY-PSEUDOSCIENCE,LOW,USA (44/180 Press Freedom),Website,Medium Traffic,LOW CREDIBILITY,https://www.thelibertybeacon.com/,thelibertybeacon.com,conspiracy,
The Mind Unleashed,https://mediabiasfactcheck.com/the-mind-unleashed/,CONSPIRACY-PSEUDOSCIENCE,LOW,USA (44/180 Press Freedom),Website,Minimal Traffic,LOW CREDIBILITY,https://themindunleashed.com/,themindunleashed.com,conspiracy,
The New Nationalist,https://mediabiasfactcheck.com/the-new-nationalist-bias/,RIGHT CONSPIRACY-PSEUDOSCIENCE,VERY LOW,USA,Website,Minimal Traffic,LOW CREDIBILITY,https://www.newnationalist.net/,newnationalist.net,conspiracy,MOSTLY FREE
The Pulse,https://mediabiasfactcheck.com/the-pulse-bias/,CONSPIRACY/PSEUDOSCIENCE,LOW,Canada,Website,Medium Traffic,LOW CREDIBILITY,https://thepulse.one/,thepulse.one,conspiracy,MOSTLY FREE
The Purist Magazine,https://mediabiasfactcheck.com/the-purist-magazine-bias/,PSEUDOSCIENCE,LOW,USA,Magazine,Minimal Traffic,LOW CREDIBILITY,https://thepuristonline.com/,thepuristonline.com,conspiracy,
The Rundown Live,https://mediabiasfactcheck.com/the-rundown-live/,,LOW,USA,,,,https://therundownlive.com/,therundownlive.com,conspiracy,
The Stream,https://mediabiasfactcheck.com/the-stream/,RIGHT-CONSPIRACY/PSEUDOSCIENCE,MIXED,USA (44/180 Press Freedom),Organization/Foundation,Medium Traffic,LOW CREDIBILITY,https://stream.org/,stream.org,conspiracy,
The Trumpet,https://mediabiasfactcheck.com/the-trumpet/,RIGHT,MIXED,USA (45/180 Press Freedom),Magazine,Medium Traffic,LOW CREDIBILITY,https://www.thetrumpet.com/,thetrumpet.com,conspiracy,
The Truth about Cancer,https://mediabiasfactcheck.com/the-truth-about-cancer/,,LOW,USA,,,,https://thetruthaboutcancer.com/,thetruthaboutcancer.com,conspiracy,
The Truth Seeker,https://mediabiasfactcheck.com/the-truth-seeker/,,LOW,United Kingdom,,,,http://www.thetruthseeker.co.uk/,thetruthseeker.co.uk,conspiracy,
